market,openTimestamp,closeTimestamp,latency,price
"BTC","1700071820","1700071821","1","36560.447472051"
"SOL","1700071746","1700071755","9","61.68207871"
"ETH","1700072185","1700072192","7","2043.29290995"
"BTC","1700071854","1700071866","12","36641.004398915"
"BTC","1700071812","1700071818","6","36561.94797585"
"BTC","1700071988","1700071991","3","37170.959790419"
"SOL","1700071898","1700071900","2","61.93686987"
"SOL","1700071828","1700071831","3","61.74849999"
"SOL","1700072196","1700072197","1","63.112507685"
"BTC","1700071886","1700071891","5","36705.468830875"
"ETH","1700071932","1700071938","6","2026.640073869"
"ETH","1700071939","1700071956","17","2025.399508664"
"ETH","1700071794","1700071797","3","2013.985647295"
"SOL","1700071867","1700071870","3","61.905862145"
"ETH","1700072216","1700072293","77","2042.42569849"
"SOL","1700071878","1700071885","7","61.92496939"
"SOL","1700072056","1700072061","5","62.477886801"
"SOL","1700071849","1700071851","2","61.81840116"
"BTC","1700072059","1700072069","10","37039.938159444"
"ETH","1700072185","1700072191","6","2043.29290995"
"SOL","1700071951","1700071961","10","62.16398185"
"ETH","1700071860","1700071863","3","2017.136331595"
"ETH","1700072098","1700072099","1","2032.3225"
"BTC","1700072046","1700072049","3","37075.176904761"
"ETH","1700072044","1700072046","2","2032.599284675"
"BTC","1700071951","1700071961","10","36920.129100218"
"BTC","1700072179","1700072183","4","37256.291360773"
"ETH","1700072181","1700072185","4","2042.349305555"
"SOL","1700072116","1700072118","2","62.711304145"
"ETH","1700071870","1700071873","3","2017.82458563"
"ETH","1700071964","1700071972","8","2025.09894025"
"SOL","1700071883","1700071889","6","61.95"
"SOL","1700072083","1700072088","5","62.33209296"
"SOL","1700072189","1700072194","5","62.89813992"
"BTC","1700072211","1700072217","6","37247.921013496"
"ETH","1700072009","1700072014","5","2031.550387865"
"ETH","1700071821","1700071826","5","2014.35570442"
"SOL","1700071782","1700071787","5","61.73845536"
"SOL","1700071995","1700072004","9","62.589657605"
"SOL","1700071985","1700071989","4","62.376605915"
"ETH","1700071919","1700071924","5","2025.301910112"
"SOL","1700071779","1700071781","2","61.7412827"
"BTC","1700071747","1700071754","7","36525.84973841"
"BTC","1700072156","1700072157","1","37218.124634455"
"SOL","1700071878","1700071884","6","61.92496939"
"ETH","1700071914","1700071919","5","2018.98"
"SOL","1700072172","1700072173","1","62.739406021"
"BTC","1700071902","1700071910","8","36708.26854"
"SOL","1700072044","1700072046","2","62.58256438"
"BTC","1700071767","1700071770","3","36520.629545895"
"BTC","1700071768","1700071770","2","36526.096097624"
"SOL","1700072031","1700072035","4","62.61059609"
"SOL","1700071916","1700071921","5","61.999046228"
"ETH","1700072067","1700072073","6","2033.802431105"
"ETH","1700071889","1700071893","4","2018.715534568"
"BTC","1700072024","1700072032","8","37037.809121971"
"SOL","1700072136","1700072138","2","62.818932541"
"SOL","1700072183","1700072191","8","62.86258123"
"ETH","1700072216","1700072290","74","2042.42569849"
"BTC","1700072118","1700072122","4","37104.348985498"
"ETH","1700072073","1700072078","5","2033.32372313"
"ETH","1700072083","1700072086","3","2031.445"
"SOL","1700072018","1700072027","9","62.47000408"
"BTC","1700071980","1700071982","2","37180.121596661"
"ETH","1700072052","1700072056","4","2032.542561895"
"ETH","1700072085","1700072086","1","2030.924825048"
"ETH","1700072191","1700072194","3","2044.670759003"
"ETH","1700071747","1700071755","8","2012.72625"
"SOL","1700071882","1700071887","5","61.954504815"
"SOL","1700071927","1700071936","9","62.177480995"
"BTC","1700071969","1700071975","6","37049.16564641"
"BTC","1700072020","1700072023","3","37059.801388365"
"SOL","1700072208","1700072209","1","63.032568075"
"ETH","1700072037","1700072039","2","2030.7357375"
"ETH","1700071992","1700071994","2","2033.027732894"
"ETH","1700072047","1700072049","2","2032.60984333"
"SOL","1700071917","1700071927","10","62.042413773"
"BTC","1700071999","1700072001","2","37131.289966528"
"SOL","1700072154","1700072157","3","62.77083341"
"BTC","1700072018","1700072024","6","37051.996619945"
"BTC","1700071792","1700071795","3","36548.928017835"
"SOL","1700071883","1700071889","6","61.95"
"BTC","1700071764","1700071767","3","36519.352362201"
"BTC","1700072128","1700072130","2","37115.65200495"
"SOL","1700072076","1700072078","2","62.44060124"
"BTC","1700071911","1700071912","1","36707.215704645"
"ETH","1700071792","1700071795","3","2013.89"
"ETH","1700072091","1700072095","4","2031.557085505"
"BTC","1700072115","1700072116","1","37098.56361758"
"BTC","1700072124","1700072129","5","37100.736926476"
"ETH","1700072085","1700072089","4","2030.924825048"
"ETH","1700071747","1700071755","8","2012.72625"
"SOL","1700072094","1700072098","4","62.348279045"
"BTC","1700072196","1700072197","1","37317.438289176"
"ETH","1700072016","1700072024","8","2033.163920025"
"BTC","1700071998","1700072004","6","37136.964884"
"ETH","1700072108","1700072112","4","2034.22747456"
"SOL","1700071976","1700071982","6","62.36523292"
"ETH","1700072166","1700072169","3","2043.546198882"
"SOL","1700072044","1700072046","2","62.58256438"
"ETH","1700071957","1700071961","4","2022.486939282"
"BTC","1700072098","1700072103","5","37046.825806385"
"ETH","1700071867","1700071872","5","2017.77294812"
"ETH","1700072166","1700072169","3","2043.546198882"
"BTC","1700071926","1700071931","5","37023.951181818"
"BTC","1700072128","1700072130","2","37115.65200495"
"ETH","1700071820","1700071822","2","2014.138749995"
"BTC","1700072060","1700072072","12","37034.913739775"
"ETH","1700072130","1700072137","7","2039.93393629"
"BTC","1700072043","1700072045","2","37050.59784715"
"BTC","1700072137","1700072140","3","37147.38815014"
"BTC","1700071860","1700071863","3","36637.14353314"
"ETH","1700072010","1700072014","4","2031.48808514"
"BTC","1700071818","1700071820","2","36558.915"
"BTC","1700071876","1700071878","2","36692.037457865"
"BTC","1700071763","1700071767","4","36519.11536393"
"SOL","1700071823","1700071827","4","61.753544305"
"BTC","1700071975","1700071982","7","37127.332186126"
"ETH","1700071920","1700071927","7","2027.281618917"
"BTC","1700071765","1700071767","2","36518.43462906"
"BTC","1700072096","1700072101","5","37040.899024402"
"SOL","1700071751","1700071756","5","61.69076362"
"SOL","1700071841","1700071844","3","61.76302987"
"ETH","1700071850","1700071855","5","2017.64"
"SOL","1700071807","1700071811","4","61.77535543"
"SOL","1700072191","1700072194","3","62.928552115"
"ETH","1700071787","1700071790","3","2013.36625"
"ETH","1700071780","1700071785","5","2013.4075"
"BTC","1700071954","1700071961","7","36924.805527"
"BTC","1700071974","1700071982","8","37097.444684182"
"ETH","1700072143","1700072146","3","2038.654583333"
"BTC","1700072201","1700072205","4","37276.643965278"
"BTC","1700071993","1700071997","4","37190.523076923"
"BTC","1700072116","1700072118","2","37100.177142857"
"BTC","1700072018","1700072028","10","37051.996619945"
"BTC","1700072105","1700072111","6","37103.217"
"SOL","1700071914","1700071919","5","61.97144083"
"ETH","1700072022","1700072033","11","2032.094285714"
"SOL","1700071984","1700071990","6","62.385473075"
"ETH","1700071883","1700071889","6","2019.00025317"
"ETH","1700072119","1700072122","3","2039.407818061"
"ETH","1700071747","1700071754","7","2012.72625"
"BTC","1700072211","1700072293","82","37243.495926921"
"ETH","1700071972","1700071979","7","2026.16601719"
"ETH","1700071855","1700071863","8","2017.43009601"
"ETH","1700071818","1700071821","3","2014.035"
"BTC","1700071859","1700071863","4","36639.24954524"
"ETH","1700071776","1700071780","4","2013.2293899"
"SOL","1700071747","1700071754","7","61.694073365"
"SOL","1700072219","1700072290","71","63.081792425"
"SOL","1700072124","1700072129","5","62.69742067"
"ETH","1700072096","1700072101","5","2032.18"
"SOL","1700072058","1700072071","13","62.44"
"SOL","1700071973","1700071982","9","62.383909243"
"BTC","1700072165","1700072167","2","37218.489556129"
"SOL","1700071760","1700071765","5","61.70690318"
"SOL","1700071818","1700071822","4","61.73110339"
"BTC","1700071996","1700072001","5","37168.305781366"
"SOL","1700071756","1700071762","6","61.70845159"
"ETH","1700072194","1700072196","2","2045.418787343"
"ETH","1700072051","1700072052","1","2032.66855667"
"BTC","1700071804","1700071809","5","36556.677071296"
"BTC","1700071844","1700071851","7","36622.216584311"
"BTC","1700071876","1700071878","2","36692.037457865"
"ETH","1700071935","1700071938","3","2025.577383594"
"BTC","1700072105","1700072111","6","37103.217"
"ETH","1700072134","1700072138","4","2039.454613"
"ETH","1700072195","1700072197","2","2045.202855831"
"ETH","1700072147","1700072148","1","2039.146678175"
"ETH","1700071918","1700071926","8","2022.259047619"
"ETH","1700072112","1700072115","3","2035.57374691"
"ETH","1700072145","1700072146","1","2038.96089405"
"ETH","1700072165","1700072167","2","2043.198449545"
"ETH","1700071985","1700071989","4","2027.722232243"
"SOL","1700072056","1700072061","5","62.477886801"
"ETH","1700071942","1700071952","10","2025.055314876"
"BTC","1700071851","1700071855","4","36636.963536975"
"ETH","1700071782","1700071785","3","2013.465809933"
"BTC","1700071746","1700071754","8","36524.277868926"
"ETH","1700071928","1700071931","3","2028.039176293"
"ETH","1700071761","1700071763","2","2012.62816578"
"ETH","1700071985","1700071989","4","2027.722232243"
"SOL","1700072213","1700072290","77","63.00949883"
"SOL","1700071823","1700071828","5","61.753544305"
"BTC","1700072066","1700072068","2","37051.322727272"
"ETH","1700072098","1700072099","1","2032.3225"
"BTC","1700072066","1700072068","2","37051.322727272"
"SOL","1700072102","1700072104","2","62.48417067"
"ETH","1700072130","1700072133","3","2039.93393629"
"BTC","1700072198","1700072202","4","37285.373910637"
"SOL","1700071909","1700071911","2","61.94704725"
"ETH","1700071796","1700071802","6","2014.005844795"
"BTC","1700071967","1700071971","4","37040.53"
"SOL","1700071763","1700071767","4","61.70167543"
"BTC","1700072106","1700072112","6","37110.011413303"
"SOL","1700071964","1700071969","5","62.23555523"
"BTC","1700072116","1700072118","2","37100.177142857"
"ETH","1700072000","1700072004","4","2030.584874686"
"BTC","1700072062","1700072071","9","37046.449"
"BTC","1700071819","1700071822","3","36558.17612213"
"SOL","1700072067","1700072077","10","62.41758042"
"ETH","1700071917","1700071927","10","2021.751849315"
"ETH","1700072017","1700072023","6","2033.114500881"
"BTC","1700071992","1700071994","2","37178.450174519"
"SOL","1700072084","1700072087","3","62.346078751"
"SOL","1700072065","1700072069","4","62.39902157"
"SOL","1700072129","1700072131","2","62.76479846"
"BTC","1700071992","1700071994","2","37178.450174519"
"ETH","1700072067","1700072073","6","2033.802431105"
"ETH","1700071951","1700071961","10","2023.054769275"
"BTC","1700072063","1700072070","7","37044.18060958"
"ETH","1700072039","1700072043","4","2030.830233032"
"SOL","1700072014","1700072020","6","62.46342923"
"BTC","1700072108","1700072114","6","37093.41447787"
"ETH","1700072169","1700072171","2","2042.990255"
"BTC","1700072084","1700072087","3","37020.278620215"
"BTC","1700071958","1700071965","7","36965.580978744"
"SOL","1700071757","1700071759","2","61.70749999"
"SOL","1700072027","1700072034","7","62.517344405"
"SOL","1700071788","1700071790","2","61.713056"
"BTC","1700072044","1700072046","2","37064.417615134"
"ETH","1700071957","1700071961","4","2022.486939282"
"ETH","1700071917","1700071923","6","2021.751849315"
"BTC","1700072215","1700072293","78","37237.128328203"
"ETH","1700072010","1700072014","4","2031.48808514"
"ETH","1700072194","1700072196","2","2045.418787343"
"BTC","1700071797","1700071804","7","36556.26485821"
"SOL","1700071751","1700071753","2","61.69076362"
"ETH","1700072116","1700072118","2","2036.789655516"
"ETH","1700071989","1700071992","3","2030.928362068"
"BTC","1700072217","1700072290","73","37239.378737708"
"BTC","1700072142","1700072146","4","37133.543318965"
"SOL","1700071746","1700071753","7","61.68207871"
"BTC","1700072160","1700072166","6","37256.750188957"
"BTC","1700072144","1700072146","2","37134.789885665"
"ETH","1700072174","1700072182","8","2041.32931286"
"ETH","1700071811","1700071812","1","2014.160986035"
"ETH","1700071903","1700071910","7","2019.032527713"
"ETH","1700071818","1700071820","2","2014.035"
"BTC","1700072025","1700072034","9","37024.431199266"
"ETH","1700071929","1700071937","8","2027.903615888"
"SOL","1700071811","1700071812","1","61.752863415"
"ETH","1700071964","1700071970","6","2025.09894025"
"SOL","1700072054","1700072061","7","62.511883465"
"SOL","1700072096","1700072102","6","62.34918458"
"SOL","1700072073","1700072077","4","62.46554761"
"ETH","1700071976","1700071982","6","2027.30401198"
"ETH","1700072075","1700072078","3","2033.20813916"
"SOL","1700072195","1700072197","2","63.058928973"
"SOL","1700072023","1700072034","11","62.48271507"
"BTC","1700072092","1700072098","6","37045.861091187"
"SOL","1700072050","1700072052","2","62.535"
"BTC","1700072035","1700072038","3","37019.619014049"
"ETH","1700071948","1700071957","9","2023.7564375"
"ETH","1700072053","1700072060","7","2032.992962962"
"SOL","1700071770","1700071774","4","61.71413803"
"BTC","1700072016","1700072022","6","37048.972714033"
"BTC","1700071932","1700071938","6","37072.484056131"
"BTC","1700071863","1700071867","4","36644.360319063"
"ETH","1700071999","1700072003","4","2030.910314494"
"ETH","1700071938","1700071955","17","2025.255708791"
"ETH","1700071809","1700071812","3","2014.1962575"
"BTC","1700071961","1700071971","10","36973.667799331"
"SOL","1700071838","1700071843","5","61.80038139"
"BTC","1700071755","1700071759","4","36523.6975"
"BTC","1700071870","1700071873","3","36659.57"
"ETH","1700071812","1700071819","7","2014.18413554"
"BTC","1700072049","1700072052","3","37090.82132628"
"SOL","1700071783","1700071785","2","61.73779316"
"ETH","1700071768","1700071770","2","2012.8475"
"SOL","1700071944","1700071958","14","62.275575455"
"SOL","1700071932","1700071938","6","62.27257463"
"BTC","1700071828","1700071834","6","36559.14154823"
"ETH","1700071747","1700071753","6","2012.72625"
"SOL","1700071876","1700071878","2","61.938207242"
"ETH","1700072170","1700072171","1","2042.530107437"
"BTC","1700071852","1700071856","4","36640.760416666"
"BTC","1700072218","1700072290","72","37249.778512385"
"SOL","1700071781","1700071787","6","61.739"
"SOL","1700072185","1700072194","9","62.8727815"
"ETH","1700071811","1700071812","1","2014.160986035"
"SOL","1700072187","1700072192","5","62.88825101"
"SOL","1700072079","1700072081","2","62.40424095"
"SOL","1700072091","1700072095","4","62.3325"
"ETH","1700072071","1700072073","2","2032.977365782"
"BTC","1700071979","1700071982","3","37165.005789473"
"SOL","1700072200","1700072202","2","63.01863721"
"ETH","1700071779","1700071781","2","2013.42315374"
"ETH","1700071907","1700071911","4","2018.99929799"
"BTC","1700071949","1700071956","7","36947.09185961"
"SOL","1700071993","1700071997","4","62.48632874"
"BTC","1700071886","1700071888","2","36705.468830875"
"BTC","1700071812","1700071818","6","36561.94797585"
"BTC","1700072057","1700072064","7","37043.807499995"
"ETH","1700072063","1700072069","6","2032.943333333"
"SOL","1700071844","1700071851","7","61.77419316"
"ETH","1700072183","1700072188","5","2042.769938855"
"BTC","1700071971","1700071982","11","37058.749322491"
"ETH","1700072134","1700072138","4","2039.454613"
"ETH","1700071898","1700071900","2","2018.301675"
"ETH","1700072022","1700072034","12","2032.094285714"
"SOL","1700072079","1700072081","2","62.40424095"
"ETH","1700071935","1700071938","3","2025.577383594"
"SOL","1700072147","1700072148","1","62.739411075"
"ETH","1700071866","1700071867","1","2017.617185595"
"BTC","1700072045","1700072046","1","37072.209717121"
"ETH","1700071871","1700071873","2","2017.842756225"
"BTC","1700071985","1700071989","4","37132.516675415"
"SOL","1700072067","1700072077","10","62.41758042"
"ETH","1700072121","1700072129","8","2039.42663517"
"BTC","1700071975","1700071982","7","37127.332186126"
"BTC","1700071939","1700071956","17","37042.939811718"
"BTC","1700072208","1700072209","1","37266.966242852"
"SOL","1700071780","1700071785","5","61.749886985"
"ETH","1700071957","1700071961","4","2022.486939282"
"BTC","1700072118","1700072122","4","37104.348985498"
"ETH","1700071767","1700071770","3","2012.63679998"
"ETH","1700071866","1700071867","1","2017.617185595"
"SOL","1700071921","1700071926","5","62.221143745"
"ETH","1700072154","1700072157","3","2040.077163885"
"SOL","1700072035","1700072039","4","62.555480311"
"SOL","1700072093","1700072098","5","62.358127571"
"SOL","1700072198","1700072202","4","63.029610165"
"BTC","1700072024","1700072034","10","37037.809121971"
"ETH","1700071931","1700071937","6","2027.431103116"
"ETH","1700072047","1700072051","4","2032.60984333"
"BTC","1700071857","1700071864","7","36644.067989184"
"SOL","1700072173","1700072174","1","62.75280177"
"SOL","1700072104","1700072110","6","62.47426724"
"SOL","1700071885","1700071887","2","61.96296659"
"SOL","1700072153","1700072157","4","62.75125"
"SOL","1700072035","1700072038","3","62.555480311"
"ETH","1700071940","1700071956","16","2025.196280417"
"BTC","1700071991","1700071994","3","37182.320404466"
"SOL","1700072000","1700072004","4","62.531155252"
"BTC","1700072141","1700072142","1","37138.84893328"
"SOL","1700071818","1700071821","3","61.73110339"
"BTC","1700072032","1700072035","3","37033.241394225"
"ETH","1700072015","1700072019","4","2032.844335276"
"SOL","1700072019","1700072027","8","62.490709365"
"ETH","1700072109","1700072114","5","2034.42857456"
"BTC","1700071765","1700071767","2","36518.43462906"
"BTC","1700071870","1700071873","3","36659.57"
"ETH","1700072131","1700072140","9","2039.95879096"
"BTC","1700072183","1700072191","8","37251.584337655"
"ETH","1700072218","1700072293","75","2042.845958783"
"SOL","1700072134","1700072138","4","62.797244649"
"ETH","1700072059","1700072067","8","2033.18996465"
"BTC","1700072195","1700072197","2","37320.1833523"
"SOL","1700071910","1700071912","2","61.946330428"
"BTC","1700072131","1700072138","7","37121.942700933"
"SOL","1700071747","1700071755","8","61.694073365"
"ETH","1700071782","1700071785","3","2013.465809933"
"BTC","1700071747","1700071756","9","36525.84973841"
"SOL","1700071959","1700071963","4","62.14128206"
"ETH","1700072163","1700072167","4","2043.423453333"
"ETH","1700072024","1700072034","10","2031.140392654"
"BTC","1700071886","1700071888","2","36705.468830875"
"SOL","1700071973","1700071982","9","62.383909243"
"SOL","1700072034","1700072035","1","62.608333333"
"ETH","1700072174","1700072179","5","2041.32931286"
"BTC","1700072146","1700072148","2","37139.24"
"BTC","1700072015","1700072021","6","37051.826141672"
"ETH","1700072188","1700072192","4","2043.582678728"
"BTC","1700071813","1700071819","6","36561.9719755"
"SOL","1700072194","1700072196","2","63.0523649"
"ETH","1700072052","1700072056","4","2032.542561895"
"BTC","1700072158","1700072160","2","37244.829488288"
"ETH","1700071746","1700071756","10","2012.567718665"
"BTC","1700071937","1700071958","21","37040.889642614"
"SOL","1700072044","1700072046","2","62.58256438"
"BTC","1700071787","1700071790","3","36539.280554478"
"ETH","1700072148","1700072151","3","2039.728791269"
"ETH","1700072135","1700072137","2","2039.758414945"
"ETH","1700071827","1700071828","1","2014.658229235"
"ETH","1700072010","1700072014","4","2031.48808514"
"ETH","1700072184","1700072191","7","2043.032294578"
"ETH","1700072197","1700072202","5","2045.225638389"
"BTC","1700071898","1700071900","2","36685.184560047"
"ETH","1700072017","1700072029","12","2033.114500881"
"ETH","1700072156","1700072158","2","2040.598"
"ETH","1700071759","1700071760","1","2012.70826992"
"BTC","1700071974","1700071982","8","37097.444684182"
"BTC","1700071760","1700071765","5","36519.687699801"
"ETH","1700072180","1700072188","8","2042.99187512"
"BTC","1700072046","1700072050","4","37075.176904761"
"SOL","1700072105","1700072114","9","62.649285714"
"BTC","1700071866","1700071867","1","36652.355227272"
"ETH","1700071882","1700071889","7","2019.05751292"
"ETH","1700071798","1700071804","6","2014.12125"
"ETH","1700072206","1700072208","2","2045.0925"
"ETH","1700071843","1700071848","5","2016.5846071"
"ETH","1700072012","1700072015","3","2031.29987524"
"ETH","1700071859","1700071863","4","2017.296395345"
"ETH","1700071928","1700071932","4","2028.039176293"
"BTC","1700072137","1700072142","5","37148.195"
"BTC","1700071942","1700071954","12","37018.08231958"
"SOL","1700071845","1700071851","6","61.788696373"
"ETH","1700071746","1700071753","7","2012.567718665"
"BTC","1700071899","1700071909","10","36695.679380289"
"ETH","1700071827","1700071828","1","2014.658229235"
"SOL","1700071985","1700071989","4","62.376605915"
"ETH","1700071845","1700071851","6","2016.873612203"
"SOL","1700072118","1700072122","4","62.742484375"
"ETH","1700071877","1700071878","1","2018.743977585"
"ETH","1700072037","1700072039","2","2030.7357375"
"BTC","1700072163","1700072166","3","37241.055912955"
"BTC","1700071972","1700071984","12","37066.793333333"
"SOL","1700072122","1700072129","7","62.770473546"
"SOL","1700071816","1700071819","3","61.73834312"
"BTC","1700071924","1700071933","9","37060.236626657"
"BTC","1700071861","1700071863","2","36640.329166666"
"BTC","1700072209","1700072211","2","37256.153355411"
"ETH","1700071961","1700071969","8","2023.531713439"
"BTC","1700071839","1700071841","2","36606.042040721"
"BTC","1700072141","1700072142","1","37138.84893328"
"SOL","1700071965","1700071971","6","62.296367291"
"SOL","1700072134","1700072137","3","62.797244649"
"BTC","1700071784","1700071790","6","36540.80918145"
"BTC","1700072143","1700072146","3","37130.95187719"
"BTC","1700071895","1700071898","3","36687.063333333"
"SOL","1700072132","1700072141","9","62.81319872"
"SOL","1700072075","1700072078","3","62.43535"
"ETH","1700072103","1700072104","1","2033.323563225"
"SOL","1700071805","1700071810","5","61.74889715"
"BTC","1700072045","1700072046","1","37072.209717121"
"ETH","1700071851","1700071855","4","2017.246695568"
"ETH","1700071928","1700071935","7","2028.039176293"
"ETH","1700071857","1700071866","9","2017.424417732"
"ETH","1700071820","1700071822","2","2014.138749995"
"ETH","1700072010","1700072014","4","2031.48808514"
"ETH","1700071892","1700071895","3","2018.61507764"
"ETH","1700072092","1700072094","2","2032.283333333"
"SOL","1700072091","1700072095","4","62.3325"
"BTC","1700072204","1700072208","4","37294.257819145"
"ETH","1700071985","1700071989","4","2027.722232243"
"SOL","1700071935","1700071937","2","62.214583333"
"SOL","1700071949","1700071955","6","62.19606695"
"SOL","1700072037","1700072039","2","62.54137827"
"SOL","1700071763","1700071767","4","61.70167543"
"ETH","1700071952","1700071961","9","2022.77556753"
"BTC","1700071794","1700071797","3","36551.73199203"
"SOL","1700072027","1700072034","7","62.517344405"
"BTC","1700071770","1700071774","4","36527.09396166"
"SOL","1700071870","1700071873","3","61.89752218"
"BTC","1700071790","1700071792","2","36543.64893145"
"BTC","1700072152","1700072158","6","37162.881200615"
"SOL","1700072017","1700072022","5","62.47076293"
"BTC","1700071948","1700071955","7","36959.29281627"
"BTC","1700072190","1700072194","4","37302.921350205"
"SOL","1700072015","1700072019","4","62.464995785"
"ETH","1700071817","1700071819","2","2014.1971922"
"SOL","1700072140","1700072142","2","62.804541163"
"BTC","1700071860","1700071866","6","36637.14353314"
"SOL","1700071929","1700071938","9","62.24698589"
"ETH","1700072034","1700072035","1","2031.6025"
"ETH","1700072183","1700072188","5","2042.769938855"
"ETH","1700072198","1700072202","4","2044.789612348"
"BTC","1700071829","1700071833","4","36567.070774115"
"BTC","1700072081","1700072083","2","37032.904351249"
"ETH","1700071884","1700071887","3","2019.170568395"
"BTC","1700071805","1700071809","4","36558.364128963"
"BTC","1700071985","1700071989","4","37132.516675415"
"SOL","1700072079","1700072081","2","62.40424095"
"ETH","1700071819","1700071821","2","2014.005"
"SOL","1700071909","1700071911","2","61.94704725"
"ETH","1700072124","1700072129","5","2037.97061169"
"BTC","1700072153","1700072158","5","37177.19373454"
"BTC","1700072096","1700072103","7","37040.899024402"
"ETH","1700071953","1700071961","8","2023.371012818"
"ETH","1700071760","1700071765","5","2012.7825"
"ETH","1700072161","1700072166","5","2042.435574478"
"ETH","1700071952","1700071961","9","2022.77556753"
"ETH","1700071834","1700071837","3","2015.253"
"SOL","1700071865","1700071867","2","61.868218135"
"BTC","1700072143","1700072146","3","37130.95187719"
"SOL","1700071945","1700071955","10","62.26940476"
"BTC","1700071991","1700071993","2","37182.320404466"
"BTC","1700072080","1700072082","2","37036.389483695"
"BTC","1700072191","1700072194","3","37304.001477272"
"BTC","1700072124","1700072129","5","37100.736926476"
"SOL","1700071848","1700071850","2","61.840477375"
"SOL","1700072076","1700072078","2","62.44060124"
"ETH","1700071862","1700071867","5","2017.38686813"
"SOL","1700071859","1700071863","4","61.8160874"
"BTC","1700071843","1700071847","4","36618.10644411"
"SOL","1700071937","1700071942","5","62.18963965"
"ETH","1700071850","1700071858","8","2017.64"
"BTC","1700071751","1700071753","2","36523.97189438"
"SOL","1700072034","1700072035","1","62.608333333"
"ETH","1700072129","1700072131","2","2039.804230571"
"SOL","1700071838","1700071842","4","61.80038139"
"BTC","1700071870","1700071873","3","36659.57"
"BTC","1700071775","1700071781","6","36537.283154997"
"ETH","1700072069","1700072077","8","2033.556244785"
"SOL","1700072009","1700072011","2","62.437807495"
"SOL","1700071764","1700071767","3","61.70060541"
"BTC","1700071779","1700071781","2","36540.8021305"
"ETH","1700071992","1700071994","2","2033.027732894"
"SOL","1700071884","1700071889","5","61.954247095"
"ETH","1700072018","1700072027","9","2033.0128325"
"SOL","1700071944","1700071956","12","62.275575455"
"SOL","1700072020","1700072022","2","62.46914058"
"SOL","1700071836","1700071841","5","61.8102124"
"BTC","1700071797","1700071804","7","36556.26485821"
"SOL","1700072130","1700072135","5","62.823395"
"SOL","1700071819","1700071821","2","61.72533131"
"BTC","1700071972","1700071980","8","37057.371448928"
"SOL","1700072092","1700072095","3","62.31391355"
"SOL","1700071912","1700071916","4","61.971418875"
"ETH","1700071958","1700071965","7","2022.920337874"
"ETH","1700072184","1700072188","4","2043.032294578"
"BTC","1700071989","1700071991","2","37160.69957626"
"SOL","1700071796","1700071804","8","61.73037895"
"SOL","1700071775","1700071780","5","61.71268329"
"BTC","1700072010","1700072014","4","37044.475775862"
"ETH","1700071778","1700071780","2","2013.3074667"
"SOL","1700072081","1700072082","1","62.37562187"
"BTC","1700072094","1700072098","4","37046.184107342"
"BTC","1700072180","1700072188","8","37256.052020475"
"BTC","1700072194","1700072197","3","37346.905391972"
"ETH","1700071755","1700071760","5","2012.873545825"
"BTC","1700071911","1700071912","1","36707.215704645"
"SOL","1700071923","1700071925","2","62.25999088"
"BTC","1700072130","1700072138","8","37115.96375"
"SOL","1700072216","1700072293","77","63.03848723"
"ETH","1700071769","1700071774","5","2012.75793188"
"ETH","1700071941","1700071954","13","2025.218651345"
"SOL","1700071792","1700071795","3","61.73"
"SOL","1700071976","1700071982","6","62.36523292"
"ETH","1700072020","1700072031","11","2032.728288438"
"SOL","1700071820","1700071822","2","61.745"
"BTC","1700072135","1700072140","5","37130.317727272"
"BTC","1700071925","1700071931","6","37009.463629149"
"ETH","1700071747","1700071757","10","2012.72625"
"ETH","1700071893","1700071895","2","2018.535823045"
"SOL","1700071915","1700071919","4","61.977090935"
"BTC","1700071866","1700071867","1","36652.355227272"
"SOL","1700072004","1700072007","3","62.45560375"
