market,openTimestamp,closeTimestamp,latency,price
"ETH","1700068053","1700068055","2","2009.574661469"
"ETH","1700065308","1700065311","3","2013.93129529"
"SOL","1700065291","1700065293","2","61.764263787"
"SOL","1700065343","1700065345","2","61.67516463"
"BTC","1700065258","1700065259","1","36351.307490216"
"SOL","1700065456","1700065497","41","61.87568176"
"ETH","1700065363","1700065366","3","2014.91260584"
"ETH","1700065353","1700065359","6","2014.33601317"
"BTC","1700065442","1700065447","5","36362.716513084"
"ETH","1700068082","1700068084","2","2007.47"
"SOL","1700065255","1700065258","3","61.72375"
"ETH","1700067206","1700067208","2","2013.412207785"
"BTC","1700065454","1700065456","2","36363.927391132"
"ETH","1700065321","1700065326","5","2012.75975"
"SOL","1700068052","1700068055","3","61.58"
"ETH","1700065282","1700065285","3","2016.1"
"BTC","1700065271","1700065273","2","36361.3775"
"BTC","1700065441","1700065443","2","36363.31472737"
"SOL","1700065473","1700065478","5","61.90040476"
"BTC","1700067185","1700067186","1","36398.23603092"
"SOL","1700067185","1700067186","1","61.895540895"
"BTC","1700065449","1700065454","5","36364.48764199"
"BTC","1700065271","1700065273","2","36361.3775"
"SOL","1700065301","1700065306","5","61.704843465"
"BTC","1700067191","1700067192","1","36389.99429594"
"SOL","1700065255","1700065258","3","61.72375"
"ETH","1700067189","1700067192","3","2014.820574175"
"ETH","1700065311","1700065315","4","2013.574671585"
"BTC","1700065476","1700065478","2","36363.845603243"
"ETH","1700066174","1700066182","8","2012.8"
"SOL","1700068138","1700068139","1","61.01828173"
"SOL","1700065477","1700065480","3","61.89189619"
"BTC","1700065296","1700065300","4","36347.751655205"
"BTC","1700067211","1700067215","4","36359.350882916"
"ETH","1700068038","1700068041","3","2010.90897791"
"ETH","1700066182","1700066185","3","2013.396509505"
"SOL","1700065305","1700065311","6","61.678301745"
"BTC","1700065465","1700065466","1","36365.599460805"
"BTC","1700065465","1700065467","2","36365.599460805"
"ETH","1700065304","1700065308","4","2014.31039"
"ETH","1700065445","1700065448","3","2015.214968565"
"SOL","1700067193","1700067195","2","61.85256619"
"SOL","1700068063","1700068063","0","61.510105339"
"BTC","1700068032","1700068035","3","36361.264692185"
"BTC","1700065398","1700065399","1","36359.244698088"
"SOL","1700065433","1700065434","1","61.83171056"
"ETH","1700068054","1700068058","4","2009.316192733"
"SOL","1700068059","1700068060","1","61.519536685"
"BTC","1700068033","1700068034","1","36361.215"
"SOL","1700068076","1700068080","4","61.1525"
"ETH","1700068138","1700068138","0","2007.0572245"
"ETH","1700068072","1700068076","4","2007.69"
"ETH","1700065425","1700065426","1","2015.193352675"
"ETH","1700065334","1700065336","2","2013.183333333"
"SOL","1700065432","1700065434","2","61.83"
"BTC","1700067196","1700067198","2","36361.852745195"
"BTC","1700067221","1700067224","3","36357.01180159"
"ETH","1700065439","1700065442","3","2015.1"
"BTC","1700065413","1700065414","1","36353.1198227"
"SOL","1700067193","1700067195","2","61.83565"
"ETH","1700065408","1700065413","5","2014.939155795"
"SOL","1700065322","1700065326","4","61.568711905"
"SOL","1700068047","1700068048","1","61.5691155"
"BTC","1700066182","1700066185","3","36370.85"
"BTC","1700068140","1700068142","2","36295.1259848"
"BTC","1700065430","1700065431","1","36360.23488484"
"BTC","1700065365","1700065366","1","36357.13360238"
"ETH","1700068049","1700068054","5","2009.7825"
"BTC","1700065446","1700065497","51","36363.22448557"
"BTC","1700065374","1700065377","3","36359.51246898"
"SOL","1700068048","1700068054","6","61.57113768"
"SOL","1700065372","1700065374","2","61.7714646"
"SOL","1700068138","1700068139","1","61.01828173"
"ETH","1700065449","1700065454","5","2015.5008935"
"SOL","1700065305","1700065311","6","61.678301745"
"ETH","1700065381","1700065384","3","2015.53106189"
"BTC","1700068026","1700068028","2","36362.467297745"
"SOL","1700068197","1700068198","1","61.19564187"
"BTC","1700068138","1700068140","2","36304.408322445"
"BTC","1700068182","1700068184","2","36293.42"
"BTC","1700065368","1700065370","2","36358.519194005"
"ETH","1700065371","1700065372","1","2015.36"
"ETH","1700065249","1700065251","2","2015.65548512"
"BTC","1700068191","1700068192","1","36300.7185962"
"ETH","1700067185","1700067186","1","2014.78430708"
"SOL","1700065368","1700065370","2","61.76843418"
"SOL","1700066185","1700066186","1","62.1425"
"BTC","1700065339","1700065340","1","36330.93687993"
"BTC","1700065387","1700065390","3","36357.77595"
"BTC","1700068138","1700068139","1","36304.408322445"
"SOL","1700065349","1700065353","4","61.695"
"BTC","1700065468","1700065470","2","36364.901379643"
"ETH","1700065259","1700065264","5","2015.687051067"
"SOL","1700065454","1700065456","2","61.870646705"
"BTC","1700067200","1700067201","1","36360.14907844"
"SOL","1700068032","1700068034","2","61.60362588"
"BTC","1700068025","1700068026","1","36360.433374513"
"SOL","1700068038","1700068042","4","61.6171203"
"SOL","1700068051","1700068054","3","61.57966625"
"SOL","1700068027","1700068028","1","61.59688504"
"ETH","1700065384","1700065386","2","2015.56788664"
"BTC","1700065386","1700065392","6","36356.690178571"
"BTC","1700068044","1700068045","1","36354.78679985"
"SOL","1700065422","1700065425","3","61.78"
"SOL","1700065389","1700065392","3","61.755875"
"ETH","1700065448","1700065454","6","2015.19615101"
"SOL","1700068074","1700068077","3","61.139829161"
"SOL","1700068074","1700068076","2","61.139829161"
"BTC","1700065257","1700065259","2","36351.392836693"
"SOL","1700065468","1700065470","2","61.91228172"
"SOL","1700066173","1700066180","7","62.06334355"
"ETH","1700065488","1700065558","70","2015.397663695"
"SOL","1700065350","1700065353","3","61.693611111"
"SOL","1700065249","1700065251","2","61.74226202"
"ETH","1700067191","1700067192","1","2014.58375"
"SOL","1700068039","1700068041","2","61.61779747"
"SOL","1700065360","1700065362","2","61.70990288"
"ETH","1700065396","1700065400","4","2015.214115074"
"BTC","1700065309","1700065311","2","36325.85218493"
"ETH","1700065309","1700065311","2","2013.837075295"
"BTC","1700068027","1700068028","1","36362.225873525"
"ETH","1700065248","1700065251","3","2015.715886205"
"BTC","1700065303","1700065308","5","36332.84305281"
"ETH","1700065393","1700065399","6","2015.373355465"
"BTC","1700065256","1700065258","2","36351.187352145"
"BTC","1700065327","1700065336","9","36296.294339371"
"BTC","1700065382","1700065385","3","36363.75995451"
"BTC","1700065335","1700065337","2","36315.705930401"
"SOL","1700067209","1700067252","43","61.72062675"
"BTC","1700065382","1700065383","1","36363.75995451"
"ETH","1700065354","1700065356","2","2014.40875"
"BTC","1700065307","1700065311","4","36329.47325065"
"BTC","1700065353","1700065359","6","36336.505625"
"ETH","1700065419","1700065420","1","2014.84243372"
"SOL","1700065414","1700065414","0","61.77241534"
"ETH","1700066186","1700066188","2","2013.801148805"
"ETH","1700065356","1700065362","6","2014.39627121"
"ETH","1700067191","1700067192","1","2014.58375"
"SOL","1700065382","1700065384","2","61.80323275"
"BTC","1700065383","1700065385","2","36362.4075"
"BTC","1700065306","1700065311","5","36329.773584585"
"BTC","1700065464","1700065497","33","36365.649951187"
"SOL","1700065338","1700065339","1","61.641802826"
"BTC","1700068067","1700068069","2","36346.12308273"
"SOL","1700067218","1700067221","3","61.69583229"
"SOL","1700065324","1700065326","2","61.573102495"
"BTC","1700067185","1700067186","1","36398.23603092"
"BTC","1700065488","1700065558","70","36373.07230373"
"SOL","1700068074","1700068076","2","61.139829161"
"SOL","1700065367","1700065368","1","61.76569484"
"SOL","1700065370","1700065370","0","61.76636661"
"SOL","1700068177","1700068180","3","61.15965547"
"BTC","1700065416","1700065420","4","36355.736088145"
"ETH","1700068044","1700068045","1","2010.4620144"
"SOL","1700068034","1700068035","1","61.59712936"
"BTC","1700068031","1700068035","4","36361.37291433"
"SOL","1700068065","1700068066","1","61.464318235"
"BTC","1700065398","1700065399","1","36359.244698088"
"ETH","1700065273","1700065274","1","2016.2625"
"SOL","1700065478","1700065497","19","61.8925"
"BTC","1700065419","1700065422","3","36357.029620495"
"BTC","1700067194","1700067251","57","36373.604464285"
"SOL","1700065454","1700065456","2","61.870646705"
"BTC","1700065345","1700065347","2","36339.60547708"
"SOL","1700065351","1700065353","2","61.67575"
"SOL","1700065405","1700065406","1","61.782352105"
"ETH","1700065389","1700065392","3","2015.19547269"
"ETH","1700065347","1700065349","2","2014.285"
"BTC","1700068020","1700068022","2","36360.824949065"
"ETH","1700065264","1700065270","6","2016.0469041"
"ETH","1700068069","1700068074","5","2008.15463121"
"SOL","1700065440","1700065497","57","61.84774588"
"ETH","1700065394","1700065399","5","2015.35766987"
"ETH","1700065435","1700065497","62","2015.127473261"
"SOL","1700065467","1700065469","2","61.92167504"
"BTC","1700068198","1700068203","5","36309.0899095"
"BTC","1700068195","1700068198","3","36305.86224991"
"ETH","1700065322","1700065329","7","2012.42875"
"ETH","1700068020","1700068022","2","2010.71"
"SOL","1700068060","1700068063","3","61.522606435"
"BTC","1700068080","1700068083","3","36332.345766286"
"SOL","1700068037","1700068041","4","61.61556993"
"SOL","1700065325","1700065334","9","61.57227128"
"SOL","1700067206","1700067208","2","61.729028355"
"BTC","1700065264","1700065270","6","36356.573965005"
"SOL","1700065342","1700065345","3","61.67572454"
"ETH","1700067198","1700067200","2","2013.40726585"
"ETH","1700065460","1700065462","2","2015.36503"
"BTC","1700068082","1700068084","2","36333.143602485"
"ETH","1700065280","1700065285","5","2016.038411551"
"ETH","1700065465","1700065467","2","2015.300410379"
"BTC","1700068054","1700068059","5","36354.391517625"
"BTC","1700065438","1700065440","2","36361.812916555"
"BTC","1700065269","1700065270","1","36362.694411845"
"SOL","1700065264","1700065270","6","61.8219925"
"SOL","1700068066","1700068069","3","61.373794895"
"SOL","1700065371","1700065372","1","61.775238995"
"SOL","1700065406","1700065406","0","61.77763961"
"SOL","1700065448","1700065454","6","61.8384378"
"SOL","1700068061","1700068063","2","61.53521287"
"SOL","1700065424","1700065426","2","61.80619914"
"BTC","1700068195","1700068198","3","36305.86224991"
"ETH","1700065397","1700065399","2","2015.21224986"
"SOL","1700065477","1700065479","2","61.89189619"
"ETH","1700068032","1700068035","3","2010.695"
"BTC","1700065424","1700065426","2","36357.66249999"
"ETH","1700068054","1700068059","5","2009.213779228"
"ETH","1700068076","1700068080","4","2007.50365583"
"SOL","1700065434","1700065436","2","61.83087606"
"BTC","1700065466","1700065497","31","36365.24486823"
"ETH","1700065348","1700065349","1","2014.39375"
"ETH","1700067208","1700067211","3","2013.478125"
"ETH","1700068077","1700068080","3","2007.545623995"
"SOL","1700065400","1700065401","1","61.74520568"
"SOL","1700068177","1700068180","3","61.15965547"
"BTC","1700065375","1700065377","2","36358.54699269"
"SOL","1700065435","1700065497","62","61.83337606"
"BTC","1700068053","1700068054","1","36357.71625"
"ETH","1700065297","1700065299","2","2015.37166531"
"SOL","1700065415","1700065419","4","61.76660037"
"SOL","1700068058","1700068059","1","61.510106382"
"SOL","1700066175","1700066182","7","62.08019461"
"BTC","1700065305","1700065311","6","36330.29"
"BTC","1700065320","1700065321","1","36303.60825"
"BTC","1700065342","1700065345","3","36338.837564371"
"ETH","1700065276","1700065281","5","2016.1625"
"BTC","1700065312","1700065315","3","36312.476913718"
"BTC","1700065275","1700065278","3","36361.50818804"
"BTC","1700067204","1700067207","3","36360.296478928"
"BTC","1700065291","1700065293","2","36347.449898977"
"SOL","1700067216","1700067219","3","61.70732132"
"BTC","1700068179","1700068182","3","36297.232229432"
"SOL","1700068180","1700068181","1","61.1656225"
"ETH","1700065299","1700065300","1","2015.320787045"
"BTC","1700065311","1700065316","5","36314.66745173"
"BTC","1700065377","1700065378","1","36362.6271875"
"ETH","1700065462","1700065463","1","2015.472111892"
"SOL","1700067220","1700067222","2","61.681777315"
"SOL","1700068054","1700068059","5","61.555061"
"SOL","1700067220","1700067221","1","61.681777315"
"SOL","1700067185","1700067186","1","61.895540895"
"ETH","1700065254","1700065256","2","2015.66421449"
"SOL","1700068026","1700068028","2","61.587381875"
"BTC","1700065405","1700065406","1","36359.81162822"
"SOL","1700065375","1700065377","2","61.808"
"SOL","1700065282","1700065285","3","61.7650097"
"BTC","1700065294","1700065300","6","36347.490536813"
"BTC","1700065381","1700065385","4","36362.307622975"
"SOL","1700068203","1700068206","3","61.251073805"
"BTC","1700067215","1700067251","36","36359.28991859"
"BTC","1700065431","1700065432","1","36362.361666666"
"BTC","1700065291","1700065292","1","36347.449898977"
"BTC","1700065374","1700065377","3","36359.51246898"
"ETH","1700065375","1700065377","2","2015.43968844"
"BTC","1700065407","1700065408","1","36358.4468383"
"ETH","1700068177","1700068180","3","2005.356045835"
"BTC","1700065359","1700065362","3","36346.794767983"
"ETH","1700065447","1700065448","1","2015.29505138"
"SOL","1700065481","1700065483","2","61.89640723"
"SOL","1700065342","1700065345","3","61.67572454"
"SOL","1700067216","1700067219","3","61.70732132"
"ETH","1700068019","1700068022","3","2010.7275"
"ETH","1700065468","1700065470","2","2015.32567723"
"ETH","1700068203","1700068206","3","2006.65"
"SOL","1700068026","1700068028","2","61.587381875"
"SOL","1700065392","1700065395","3","61.77549206"
"SOL","1700065401","1700065405","4","61.745"
"SOL","1700065436","1700065437","1","61.83797392"
"SOL","1700065394","1700065399","5","61.77512237"
"BTC","1700065321","1700065326","5","36298.107134695"
"SOL","1700068076","1700068083","7","61.1525"
"ETH","1700065291","1700065293","2","2015.67904039"
"BTC","1700065473","1700065478","5","36365.6282843"
"ETH","1700065467","1700065469","2","2015.378880885"
"SOL","1700068204","1700068206","2","61.266760765"
"SOL","1700065263","1700065264","1","61.76746319"
"ETH","1700065410","1700065414","4","2014.944675355"
"SOL","1700065245","1700065245","0","61.76159582"
"BTC","1700065319","1700065320","1","36309.146276225"
"BTC","1700065291","1700065293","2","36347.449898977"
"BTC","1700065353","1700065359","6","36336.505625"
"SOL","1700065323","1700065326","3","61.5753125"
"BTC","1700065285","1700065286","1","36350.205615495"
"BTC","1700066174","1700066182","8","36358.979205736"
"SOL","1700068026","1700068028","2","61.587381875"
"ETH","1700067185","1700067186","1","2014.78430708"
"ETH","1700065324","1700065326","2","2012.50229523"
"ETH","1700065483","1700065497","14","2014.99545"
"ETH","1700065301","1700065308","7","2014.953737773"
"ETH","1700065425","1700065426","1","2015.193352675"
"ETH","1700065400","1700065403","3","2015.09833336"
"BTC","1700067190","1700067192","2","36395.13712191"
"BTC","1700067202","1700067250","48","36361.57243994"
"ETH","1700065439","1700065442","3","2015.1"
"ETH","1700065477","1700065479","2","2015.17"
"SOL","1700068041","1700068041","0","61.61"
"SOL","1700068080","1700068083","3","61.23875"
"SOL","1700065425","1700065426","1","61.79960227"
"BTC","1700068037","1700068041","4","36366.459100916"
"SOL","1700067190","1700067192","2","61.86142579"
"ETH","1700065346","1700065349","3","2014.27692599"
"BTC","1700065400","1700065402","2","36356.82012548"
"ETH","1700068079","1700068083","4","2007.451827915"
"ETH","1700067195","1700067197","2","2014.17053065"
"SOL","1700067210","1700067214","4","61.69894"
"ETH","1700065278","1700065285","7","2016.173333333"
"SOL","1700065470","1700065497","27","61.919055555"
"BTC","1700065339","1700065341","2","36330.93687993"
"ETH","1700068182","1700068184","2","2004.82349061"
"BTC","1700067215","1700067250","35","36359.28991859"
"BTC","1700065437","1700065440","3","36362.995054665"
"ETH","1700065282","1700065285","3","2016.1"
"BTC","1700065300","1700065310","10","36346.11675"
"SOL","1700065390","1700065392","2","61.776977158"
"ETH","1700065433","1700065434","1","2015.00587314"
"BTC","1700065485","1700065492","7","36371.570829026"
"BTC","1700067215","1700067252","37","36359.28991859"
"BTC","1700065295","1700065296","1","36347.145598788"
"ETH","1700065300","1700065308","8","2015.25968179"
"BTC","1700067211","1700067215","4","36359.350882916"
"ETH","1700065263","1700065264","1","2015.88236895"
"SOL","1700065438","1700065440","2","61.84"
"SOL","1700065431","1700065432","1","61.82438698"
"SOL","1700065245","1700065247","2","61.75817299"
"SOL","1700065286","1700065291","5","61.7700312"
"ETH","1700065341","1700065345","4","2014.120194801"
"SOL","1700065321","1700065323","2","61.578021215"
"SOL","1700068040","1700068041","1","61.62250339"
"SOL","1700065445","1700065448","3","61.840933145"
"ETH","1700065430","1700065431","1","2015.06959562"
"SOL","1700068200","1700068203","3","61.228625"
"ETH","1700065400","1700065404","4","2015.09833336"
"SOL","1700068034","1700068035","1","61.59712936"
"BTC","1700065465","1700065466","1","36365.599460805"
"BTC","1700065273","1700065274","1","36359.91098933"
"SOL","1700065347","1700065348","1","61.68645408"
"ETH","1700065362","1700065363","1","2014.9625"
"BTC","1700065455","1700065457","2","36364.00203399"
"BTC","1700065256","1700065258","2","36351.187352145"
"ETH","1700065328","1700065333","5","2012.8403"
"BTC","1700068142","1700068148","6","36296.796656976"
"ETH","1700065413","1700065415","2","2014.893069665"
"BTC","1700065350","1700065353","3","36338.777544205"
"SOL","1700067207","1700067210","3","61.75410675"
"BTC","1700068044","1700068045","1","36354.78679985"
"SOL","1700065368","1700065370","2","61.76843418"
"SOL","1700065384","1700065386","2","61.79162122"
"ETH","1700068065","1700068067","2","2008.739612305"
"ETH","1700065464","1700065497","33","2015.475"
"ETH","1700068049","1700068054","5","2009.7825"
"ETH","1700068057","1700068059","2","2008.9306858"
"BTC","1700065249","1700065251","2","36348.87775635"
"BTC","1700065379","1700065382","3","36362.495786275"
"BTC","1700065425","1700065426","1","36362.77699713"
"ETH","1700065289","1700065291","2","2015.61613015"
"SOL","1700068055","1700068058","3","61.56299423"
"SOL","1700068141","1700068146","5","61.04311232"
"ETH","1700068139","1700068141","2","2007.00139479"
"SOL","1700068043","1700068044","1","61.59588844"
"BTC","1700068038","1700068041","3","36367.28229135"
"SOL","1700065457","1700065458","1","61.884966333"
"SOL","1700068186","1700068190","4","61.137253705"
"SOL","1700065328","1700065333","5","61.56975"
"ETH","1700068182","1700068189","7","2004.82349061"
"SOL","1700068177","1700068180","3","61.15965547"
"ETH","1700065444","1700065446","2","2015.217346715"
"ETH","1700065370","1700065371","1","2015.30849304"
"ETH","1700065339","1700065341","2","2013.76446285"
"SOL","1700065467","1700065469","2","61.92167504"
"BTC","1700067192","1700067250","58","36391.23625"
"BTC","1700068058","1700068059","1","36354.275666645"
"BTC","1700066182","1700066185","3","36370.85"
"BTC","1700068026","1700068028","2","36362.467297745"
"BTC","1700065454","1700065456","2","36363.927391132"
"ETH","1700068140","1700068148","8","2006.98202041"
"ETH","1700068198","1700068203","5","2006.64713364"
"SOL","1700068195","1700068198","3","61.164660645"
"SOL","1700065384","1700065386","2","61.79162122"
"BTC","1700068072","1700068076","4","36333.957313585"
"ETH","1700066185","1700066186","1","2013.774451525"
"ETH","1700067216","1700067219","3","2013.19124396"
"BTC","1700068039","1700068041","2","36367.583710733"
"SOL","1700065473","1700065478","5","61.90040476"
"SOL","1700065258","1700065259","1","61.74787109"
"SOL","1700065371","1700065372","1","61.775238995"
"BTC","1700068080","1700068084","4","36332.345766286"
"ETH","1700065276","1700065281","5","2016.1625"
"BTC","1700065454","1700065456","2","36363.927391132"
"BTC","1700065345","1700065347","2","36339.60547708"
"SOL","1700065375","1700065377","2","61.808"
"BTC","1700065388","1700065392","4","36358.226926075"
"ETH","1700068179","1700068181","2","2005.229262102"
"ETH","1700067205","1700067250","45","2013.4283947"
"ETH","1700068191","1700068192","1","2005.326666666"
"ETH","1700065257","1700065258","1","2015.67490821"
"SOL","1700066174","1700066241","67","62.083928571"
"SOL","1700068185","1700068190","5","61.13461184"
"ETH","1700065390","1700065392","2","2015.254509045"
"ETH","1700065263","1700065264","1","2015.88236895"
"BTC","1700065404","1700065406","2","36360.22362822"
"ETH","1700065436","1700065437","1","2015.08161319"
"SOL","1700068060","1700068063","3","61.522606435"
"BTC","1700065241","1700065243","2","36346.63763918"
"ETH","1700065346","1700065349","3","2014.27692599"
"ETH","1700066185","1700066186","1","2013.774451525"
"ETH","1700068067","1700068069","2","2008.26"
"ETH","1700065248","1700065251","3","2015.715886205"
"BTC","1700065343","1700065348","5","36336.67916117"
"ETH","1700065335","1700065337","2","2013.31545475"
"BTC","1700065404","1700065406","2","36360.22362822"
"SOL","1700065255","1700065258","3","61.72375"
"SOL","1700065351","1700065356","5","61.67575"
"SOL","1700065415","1700065419","4","61.76660037"
"ETH","1700065345","1700065349","4","2014.405962995"
"ETH","1700067199","1700067250","51","2013.461110625"
"ETH","1700065430","1700065431","1","2015.06959562"
"SOL","1700065479","1700065480","1","61.895848356"
"BTC","1700065360","1700065362","2","36350.038571175"
